,Title,Worldwide,Domestic,Year
0,Avengers: Endgame,2793.3,856.6,2019
1,Avatar,2789.7,760.5,2009
2,Star Wars: The Force Awakens,2068.2,936.7,2015
3,Avengers: Infinity War,2048.4,678.8,2018
4,Jurassic World,1671.7,652.3,2015
5,Marvel's The Avengers,1518.8,623.4,2012
6,Furious 7,1516.0,353.0,2015
7,Avengers: Age of Ultron,1405.4,459.0,2015
8,Black Panther,1346.9,700.1,2018
9,Harry Potter and the Deathly Hallows Part 2,1341.7,381.2,2011
10,Star Wars: The Last Jedi,1332.5,620.2,2017
11,Jurassic World: Fallen Kingdom,1309.5,417.7,2018
12,Frozen,1276.5,400.7,2013
13,Beauty and the Beast (2017),1263.5,504.0,2017
14,Incredibles 2,1242.8,608.6,2018
15,The Fate of the Furious,1236.0,226.0,2017
16,Iron Man 3,1214.8,409.0,2013
17,Minions,1159.4,336.0,2015
18,Captain America: Civil War,1153.3,408.1,2016
19,Aquaman,1148.1,335.1,2018
20,Captain Marvel,1128.3,426.8,2019
21,Transformers: Dark of the Moon,1123.8,352.4,2011
22,The Lord of the Rings: The Return of the King,1119.9,377.8,2003
23,Skyfall,1108.6,304.4,2012
24,Transformers: Age of Extinction,1104.1,245.4,2014
25,The Dark Knight Rises,1084.9,448.1,2012
26,Toy Story 3,1067.0,415.0,2010
27,Pirates of the Caribbean: Dead Man's Chest,1066.2,423.3,2006
28,Rogue One: A Star Wars Story,1056.1,532.2,2016
29,Pirates of the Caribbean: On Stranger Tides,1045.7,241.1,2011
30,Spider-Man: Far from Home,1037.1,344.7,2019
31,Despicable Me 3,1034.8,264.6,2017
32,Finding Dory,1028.6,486.3,2016
33,Alice in Wonderland (2010),1025.5,334.2,2010
34,Zootopia,1023.8,341.3,2016
35,The Hobbit: An Unexpected Journey,1021.1,303.0,2012
36,Aladdin (2019),1010.7,346.2,2019
37,The Dark Knight,1004.9,535.2,2008
38,Harry Potter and the Sorcerer's Stone,975.1,317.9,2001
39,Despicable Me 2,970.8,368.1,2013
40,The Lion King (2019),968.5,351.9,2019
41,The Jungle Book (2016),966.6,364.0,2016
42,Pirates of the Caribbean: At World's End,963.4,309.4,2007
43,Jumanji: Welcome to the Jungle,962.1,404.6,2017
44,Harry Potter and the Deathly Hallows Part 1,960.4,296.1,2010
45,The Hobbit: The Desolation of Smaug,958.4,258.4,2013
46,The Hobbit: The Battle of the Five Armies,956.0,255.1,2014
47,Finding Nemo,940.3,380.8,2003
48,Harry Potter and the Order of the Phoenix,940.0,292.1,2007
49,Harry Potter and the Half-Blood Prince,934.5,302.1,2009
50,The Lord of the Rings: The Two Towers,926.0,342.6,2002
51,Shrek 2,919.8,441.2,2004
52,Toy Story 4,919.1,396.2,2019
53,Bohemian Rhapsody,903.7,216.4,2018
54,Harry Potter and the Goblet of Fire,897.1,290.2,2005
55,Spider-Man 3,890.9,336.5,2007
56,Ice Age: Dawn of the Dinosaurs,888.8,196.6,2009
57,Spectre,880.7,200.1,2015
58,Spider-Man: Homecoming,880.2,334.2,2017
59,Harry Potter and the Chamber of Secrets,879.2,262.2,2002
60,Ice Age: Continental Drift,877.2,161.3,2012
61,The Secret Life of Pets,875.5,368.4,2016
62,Batman v Superman: Dawn of Justice,873.6,330.4,2016
63,The Lord of the Rings: The Fellowship of the Ring,871.5,315.5,2001
64,Wolf Warrior 2,870.3,2.7,2017
65,The Hunger Games: Catching Fire,865.0,424.7,2013
66,Guardians of the Galaxy Vol. 2,863.8,389.8,2017
67,Inside Out,857.6,356.5,2015
68,Venom (2018),856.1,213.5,2018
69,Thor: Ragnarok,854.0,315.1,2017
70,Star Wars: Episode III - Revenge of the Sith,848.8,380.3,2005
71,Transformers: Revenge of the Fallen,836.3,402.1,2009
72,The Twilight Saga: Breaking Dawn Part 2,829.7,292.3,2012
73,Inception,828.3,292.6,2010
74,Wonder Woman,821.8,412.6,2017
75,Spider-Man,821.7,403.7,2002
76,Fantastic Beasts and Where To Find Them,814.0,234.0,2016
77,Coco,807.1,209.7,2017
78,Shrek the Third,799.0,322.7,2007
79,Harry Potter and the Prisoner of Azkaban,796.9,249.8,2004
80,Pirates of the Caribbean: Dead Men Tell No Tales,794.9,172.6,2017
81,Mission: Impossible - Fallout,791.1,220.2,2018
82,Fast & Furious 6,788.7,238.7,2013
83,Indiana Jones and the Kingdom of the Crystal Skull,786.6,317.1,2008
84,Deadpool 2,785.0,324.6,2018
85,Spider-Man 2,783.8,373.6,2004
86,Deadpool,783.1,363.1,2016
87,Guardians of the Galaxy,773.3,333.2,2014
88,2012,769.7,166.1,2009
89,Maleficent,758.5,241.4,2014
90,The Da Vinci Code,758.2,217.5,2006
91,The Amazing Spider-Man,757.9,262.0,2012
92,The Hunger Games: Mockingjay - Part 1,755.4,337.1,2014
93,Shrek Forever After,752.6,238.7,2010
94,X-Men: Days of Future Past,747.9,233.9,2014
95,Madagascar 3: Europe's Most Wanted,746.9,216.4,2012
96,Suicide Squad,746.8,325.1,2016
97,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745.0,291.7,2005
98,Monsters University,744.2,268.5,2013
99,The Matrix Reloaded,742.1,281.6,2003
100,Up,735.1,293.0,2009
101,Gravity,723.2,274.1,2013
102,Captain America: The Winter Soldier,714.3,259.8,2014
103,The Twilight Saga: Breaking Dawn Part 1,712.2,281.3,2011
104,Dawn of the Planet of the Apes,710.6,208.5,2014
105,The Twilight Saga: New Moon,709.7,296.6,2009
106,Transformers,709.7,319.2,2007
107,The Amazing Spider-Man 2,709.0,202.9,2014
108,It,700.4,327.5,2017
109,The Wandering Earth,699.8,5.9,2019
110,The Twilight Saga: Eclipse,698.5,300.5,2010
111,Mission: Impossible - Ghost Protocol,694.7,209.4,2011
112,The Hunger Games,694.4,408.0,2012
113,Mission: Impossible - Rogue Nation,682.7,195.0,2015
114,Doctor Strange,677.7,232.6,2016
115,Interstellar,677.5,188.0,2014
116,Man of Steel,668.0,291.0,2013
117,Kung Fu Panda 2,665.7,165.2,2011
118,Ice Age: The Meltdown,660.9,195.3,2006
119,Justice League,657.9,229.0,2017
120,Big Hero 6,657.8,222.5,2014
121,Pirates of the Caribbean: The Curse of the Black Pearl,654.3,305.4,2003
122,Fantastic Beasts: The Crimes of Grindelwald,653.8,159.6,2018
123,The Hunger Games: Mockingjay - Part 2,653.4,281.7,2015
124,Star Wars: Episode II - Attack of the Clones,649.4,310.7,2002
125,Thor: The Dark World,644.6,206.4,2013
126,Moana,643.3,248.8,2016
127,Sing,634.2,270.4,2016
128,The Incredibles,633.0,261.4,2004
129,Kung Fu Panda,631.7,215.4,2008
130,The Martian,630.2,228.4,2015
131,Fast Five,626.1,209.8,2011
132,Hancock,624.4,227.9,2008
133,MIB 3,624.0,179.0,2012
134,Iron Man 2,623.9,312.4,2010
135,Ant-Man and the Wasp,622.7,216.6,2018
136,How to Train Your Dragon 2,621.5,177.0,2014
137,Ratatouille,620.7,206.4,2007
138,Logan (2017),619.0,226.3,2017
139,The Passion of the Christ,611.9,370.8,2004
140,Mamma Mia!,609.9,144.2,2008
141,Life of Pi,609.0,125.0,2012
142,Transformers: The Last Knight,605.4,130.2,2017
143,Madagascar: Escape 2 Africa,603.9,180.0,2008
144,Casino Royale,599.0,167.4,2006
145,Tangled,591.8,200.8,2010
146,War of the Worlds,591.7,234.3,2005
147,The Croods,587.2,187.2,2013
148,The Hangover Part II,586.8,254.5,2011
149,Quantum of Solace,586.1,168.4,2008
150,I Am Legend,585.3,256.4,2007
151,Iron Man,585.2,318.4,2008
152,Ready Player One,582.9,137.7,2018
153,Operation Red Sea,579.2,1.5,2018
154,"Monsters, Inc.",577.4,289.9,2001
155,Night at the Museum,574.5,250.9,2006
156,Fifty Shades of Grey,571.0,166.2,2015
157,Kong: Skull Island,566.7,168.1,2017
158,The Smurfs,563.7,142.6,2011
159,Cars 2,562.1,191.5,2011
160,Puss in Boots,555.0,149.3,2011
161,The Mermaid (Mei ren yu),553.8,3.2,2016
162,King Kong,550.5,218.1,2005
163,Ted,549.4,218.8,2012
164,American Sniper,547.4,350.1,2014
165,Sherlock Holmes: A Game of Shadows,545.4,186.8,2011
166,The Day After Tomorrow,544.3,186.7,2004
167,Detective Chinatown 2,544.1,2.0,2018
168,X-Men: Apocalypse,543.9,155.4,2016
169,Cinderella (2015),543.5,201.2,2015
170,Despicable Me,543.1,251.5,2010
171,Brave,540.4,237.3,2012
172,World War Z,540.0,202.4,2013
173,WALL-E,533.3,223.8,2008
174,The Revenant,533.0,183.6,2015
175,Madagascar,532.7,193.6,2005
176,The Meg,530.2,145.4,2018
177,Ralph Breaks the Internet,529.3,201.1,2018
178,Godzilla (2014),529.1,200.7,2014
179,Hotel Transylvania 3: Summer Vacation,528.6,167.5,2018
180,The Boss Baby,528.0,175.0,2017
181,The Simpsons Movie,527.1,183.1,2007
182,Dunkirk,526.9,189.7,2017
183,Sherlock Holmes,524.0,209.0,2009
184,Kung Fu Panda 3,521.2,143.5,2016
185,How to Train Your Dragon: The Hidden World,519.8,160.8,2019
186,Ant-Man,519.3,180.2,2015
187,Meet the Fockers,516.6,279.3,2004
188,Dr. Seuss' The Grinch (2018),511.6,270.6,2018
189,Rio 2,500.1,131.5,2014
190,Troy,497.4,133.4,2004
191,How to Train Your Dragon,494.9,217.6,2010
192,Teenage Mutant Ninja Turtles (2014),493.3,191.2,2014
193,Oz The Great and Powerful,493.3,234.9,2013
194,Clash of the Titans (2010),493.2,163.2,2010
195,War for the Planet of the Apes,490.7,146.9,2017
196,Angels & Demons,485.9,133.4,2009
197,Rio,484.6,143.6,2011
198,Bruce Almighty,484.6,242.8,2003
199,Shrek,484.4,267.7,2001
200,Rise of the Planet of the Apes,481.8,176.8,2011
