,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week,Dom_Profits,WW_Profits,movie_name,genre,%ROI
0,2009-12-18,Avatar,425000000,760507625,2789705275,2009,51,335507625,2364705275,Avatar,Action,0.789429705882353
1,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2011,20,-169536125,635063875,Pirates of the Caribbean: On Stranger Tides,Adventure,-0.41289850219191426
2,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,2015,18,128405868,1072413963,Avengers: Age of Ultron,Action,0.3884025045372051
3,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,2018,17,378815482,1748134200,Avengers: Infinity War,Action,1.2627182733333333
4,2017-11-17,Justice League,300000000,229024295,655945209,2017,46,-70975705,355945209,Justice League,Action,-0.23658568333333332
5,2015-11-06,Spectre,300000000,200074175,879620923,2015,45,-99925825,579620923,Spectre,Action,-0.33308608333333334
6,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,2012,29,173139099,809439099,The Dark Knight Rises,Action,0.6295967236363637
7,2018-05-25,Solo: A Star Wars Story,275000000,213767512,393151347,2018,21,-61232488,118151347,Solo: A Star Wars Story,Adventure,-0.22266359272727274
8,2013-07-02,The Lone Ranger,275000000,89302115,260002115,2013,27,-185697885,-14997885,The Lone Ranger,Western,-0.6752650363636363
9,2012-03-09,John Carter,275000000,73058679,282778100,2012,10,-201941321,7778100,John Carter,Adventure,-0.7343320763636364
10,2010-11-24,Tangled,260000000,200821936,586477240,2010,47,-59178064,326477240,Tangled,Musical,-0.22760793846153846
11,2007-05-04,Spider-Man 3,258000000,336530303,894860230,2007,18,78530303,636860230,Spider-Man 3,Adventure,0.30438101937984496
12,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,18,158084349,890069413,Captain America: Civil War,Action,0.632337396
13,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,2016,12,80360194,617500281,Batman v Superman: Dawn of Justice,Action,0.321440776
14,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,2012,50,53003568,767003568,The Hobbit: An Unexpected Journey,Adventure,0.212014272
