,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week
0,2009-12-18,Avatar,425000000,760507625,2789705275,2009,51
1,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2011,20
2,2019-04-26,Avengers: Endgame,400000000,856576358,2793060360,2019,17
3,2019-06-07,Dark Phoenix,350000000,65595183,246286679,2019,23
4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,2015,18
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,2017,50
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,2015,51
7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,2018,17
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000,309420425,963420425,2007,21
9,2017-11-17,Justice League,300000000,229024295,655945209,2017,46
10,2015-11-06,Spectre,300000000,200074175,879620923,2015,45
11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,2012,29
12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,393151347,2018,21
13,2013-07-02,The Lone Ranger,275000000,89302115,260002115,2013,27
14,2012-03-09,John Carter,275000000,73058679,282778100,2012,10
15,2010-11-24,Tangled,260000000,200821936,586477240,2010,47
16,2007-05-04,Spider-Man 3,258000000,336530303,894860230,2007,18
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,18
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,2016,12
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,2012,50
20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,935213767,2009,29
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,2013,50
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,2014,51
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,2017,15
24,2006-06-28,Superman Returns,232000000,200120000,374085065,2006,26
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,2017,21
26,2008-11-14,Quantum of Solace,230000000,169368427,591692078,2008,46
27,2012-05-04,The Avengers,225000000,623279547,1517935897,2012,18
28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,1066215812,2006,27
29,2013-06-14,Man of Steel,225000000,291045518,667999518,2013,24
30,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,2008,20
31,2020-07-17,Tenet,224000000,0,0,2020,29
32,2012-07-03,The Amazing Spider-Man,220000000,262030663,757890267,2012,27
33,2012-05-18,Battleship,220000000,65233400,313477717,2012,20
34,2017-06-21,Transformers: The Last Knight,217000000,130168683,602893340,2017,25
35,2015-06-12,Jurassic World,215000000,652270625,1648854864,2015,24
36,2012-05-25,Men in Black 3,215000000,179020854,654213485,2012,21
37,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,836519699,2009,26
38,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,2014,26
39,2006-05-26,X-Men: The Last Stand,210000000,234362462,459260946,2006,21
