,movie_name,genre
0,Madea's Family Reunion,Comedy
1,Krrish,Action
2,End of the Spear,Drama
3,A Prairie Home Companion,Comedy
4,Saw III,Horror
5,Employee of the Month,Comedy
6,Edmond,Black Comedy
7,Peaceful Warrior,Drama
8,Turistas,Thriller/Suspense
9,Kabhi Alvida Naa Kehna,Drama
10,Jackass: Number Two,Comedy
11,Copying Beethoven,Drama
12,For Your Consideration,Comedy
13,Crank,Action
14,Fateless,Drama
15,Running With Scissors,Comedy
16,Step Up,Drama
17,Find Me Guilty,Drama
18,Infamous,Drama
19,Letters from Iwo Jima,Drama
20,Little Children,Drama
21,Catch a Fire,Thriller/Suspense
22,Bobby,Drama
23,An American Haunting,Horror
24,Manderlay,Drama
25,Idlewild,Musical
26,The Marine,Action
27,The Queen,Drama
28,Flicka,Drama
29,Hoot,Adventure
30,When a Stranger Calls,Horror
31,Slither,Horror
32,El Laberinto del Fauno,Horror
33,The Texas Chainsaw Massacre: The Beginning,Horror
34,The Illusionist,Drama
35,FUR: An Imaginary Portrait of Diane Arbus,Drama
36,The Hills Have Eyes,Horror
37,American Dreamz,Black Comedy
38,Larry the Cable Guy: Health Inspector,Comedy
39,ATL,Comedy
40,Running Scared,Action
41,Beerfest,Comedy
42,United 93,Drama
43,Borat,Comedy
44,Renaissance,Action
45,Indigènes,Drama
46,The Painted Veil,Drama
47,Doogal,Adventure
48,The Proposition,Drama
49,Stay Alive,Horror
50,One Night with the King,Drama
51,School for Scoundrels,Comedy
52,Date Movie,Comedy
53,The Covenant,Thriller/Suspense
54,Stick It,Comedy
55,Man of the Year,Comedy
56,A Scanner Darkly,Thriller/Suspense
57,Babel,Drama
58,The Grudge 2,Horror
59,Pulse,Horror
60,Joyeux Noël,Drama
61,Rocky Balboa,Drama
62,Unaccompanied Minors,Adventure
63,BloodRayne,Action
64,The Omen,Horror
65,She's the Man,Romantic Comedy
66,Nanny McPhee,Adventure
67,Final Destination 3,Horror
68,Lucky Number Slevin,Thriller/Suspense
69,Notes on a Scandal,Drama
70,Just My Luck,Romantic Comedy
71,Miss Potter,Drama
72,Gridiron Gang,Drama
73,Stranger Than Fiction,Comedy
74,Ultraviolet,Action
75,My Super Ex-Girlfriend,Comedy
76,Wu ji,Action
77,Take the Lead,Drama
78,Glory Road,Drama
79,Nacho Libre,Comedy
80,The Good German,Drama
81,Snakes on a Plane,Thriller/Suspense
82,Goal! The Dream Begins,Drama
83,The Fountain,Drama
84,Bandidas,Western
85,The Nativity Story,Drama
86,The Benchwarmers,Comedy
87,The Devil Wears Prada,Comedy
88,Zoom,Adventure
89,A Good Year,Drama
90,Marie Antoinette,Drama
91,Big Momma's House 2,Comedy
92,Alex Rider: Operation Stormbreaker,Action
93,Eight Below,Adventure
94,The Lake House,Drama
95,Scary Movie 4,Comedy
96,Apocalypto,Action
97,Invincible,Drama
98,The Prestige,Thriller/Suspense
99,Music and Lyrics,Romantic Comedy
100,Les Bronzés 3: amis pour la vie,Comedy
101,Underworld: Evolution,Action
102,The Ant Bully,Adventure
103,Man cheng jin dai huang jin jia,Action
104,Last Holiday,Comedy
105,16 Blocks,Action
106,Happily N'Ever After,Adventure
107,Failure to Launch,Romantic Comedy
108,Silent Hill,Horror
109,V for Vendetta,Action
110,Inside Man,Thriller/Suspense
111,Firewall,Thriller/Suspense
112,Deck the Halls,Comedy
113,Barnyard: The Original Party Animals,Adventure
114,The Break-Up,Romantic Comedy
115,Flags of Our Fathers,Drama
116,"You, Me and Dupree",Comedy
117,R.V.,Adventure
118,The Pursuit of Happyness,Drama
119,All the King's Men,Drama
120,The Shaggy Dog,Comedy
121,The Black Dahlia,Thriller/Suspense
122,Flyboys,Drama
123,The Sentinel,Thriller/Suspense
124,Perfume: The Story of a Murderer,Drama
125,Little Man,Comedy
126,We Are Marshall,Drama
127,World Trade Center,Drama
128,The Guardian,Action
129,Basic Instinct 2,Thriller/Suspense
130,Talladega Nights: The Ballad of Ricky Bobby,Comedy
131,Ice Age: The Meltdown,Adventure
132,Monster House,Adventure
133,Lady in the Water,Drama
134,Dreamgirls,Musical
135,Children of Men,Thriller/Suspense
136,Arthur et les Minimoys,Adventure
137,The Pink Panther,Adventure
138,The Wild,Adventure
139,Déjà Vu,Thriller/Suspense
140,Click,Comedy
141,Charlotte's Web,Drama
142,Happy Feet,Adventure
143,The Holiday,Romantic Comedy
144,The Fast and the Furious: Tokyo Drift,Action
145,Open Season,Adventure
146,The Departed,Drama
147,Blood Diamond,Action
148,Eragon,Adventure
149,Casino Royale,Action
150,Night at the Museum,Adventure
151,The Da Vinci Code,Thriller/Suspense
152,Miami Vice,Action
153,Flushed Away,Adventure
154,Mission: Impossible III,Action
155,Bee Movie,Adventure
156,Poseidon,Adventure
157,X-Men: The Last Stand,Action
158,Pirates of the Caribbean: Dead Man’s Chest,Adventure
159,Superman Returns,Adventure
160,Saw IV,Horror
161,Rescue Dawn,Action
162,The Brothers Solomon,Comedy
163,Severance,Comedy
164,White Noise 2: The Light,Horror
165,Reno 911!: Miami,Comedy
166,King of California,Drama
167,Blonde Ambition,Comedy
168,The Ten Commandments,Adventure
169,September Dawn,Drama
170,In the Land of Women,Comedy
171,Jindabyne,Drama
172,Romance and Cigarettes,Comedy
173,St. Trinian’s,Comedy
174,Gwoemul,Action
176,Trade,Drama
177,Lars and the Real Girl,Comedy
178,Resurrecting the Champ,Drama
179,This Christmas,Drama
180,The Astronaut Farmer,Drama
181,The Mist,Horror
182,I Think I Love My Wife,Romantic Comedy
183,Stomp the Yard,Drama
184,Le Scaphandre et le Papillon,Drama
185,Halloween,Horror
186,Black Snake Moan,Drama
187,The Hills Have Eyes II,Horror
188,Why Did I Get Married?,Romantic Comedy
189,Se jie,Drama
190,A Mighty Heart,Drama
191,28 Weeks Later,Horror
192,The Great Debaters,Drama
193,Blood and Chocolate,Horror
194,The Pirates Who Don't Do Anything: A VeggieTales Movie,Adventure
195,The Good Night,Romantic Comedy
196,La Môme,Drama
197,Slow Burn,Thriller/Suspense
198,The Messengers,Horror
199,Hot Fuzz,Comedy
200,Things We Lost in the Fire,Drama
201,Becoming Jane,Romantic Comedy
202,Arn - Tempelriddaren,Action
203,Sydney White,Comedy
204,Smokin' Aces,Comedy
205,Southland Tales,Musical
207,Superbad,Comedy
208,"Gone, Baby, Gone",Drama
209,Code Name: The Cleaner,Comedy
210,Reign Over Me,Drama
211,Nancy Drew,Thriller/Suspense
212,Dead Silence,Horror
213,Into the Wild,Drama
214,Disturbia,Thriller/Suspense
215,Georgia Rule,Drama
216,The Kite Runner,Drama
217,I’m Not There,Drama
218,Death Sentence,Action
219,Epic Movie,Comedy
220,Premonition,Thriller/Suspense
221,Death at a Funeral,Comedy
222,Freedom Writers,Drama
223,Michael Clayton,Drama
224,Molière,Comedy
225,The Game Plan,Comedy
226,Zwartboek,Thriller/Suspense
227,1408,Horror
228,In the Valley of Elah,Drama
230,Hitman,Action
231,War,Action
232,Mr. Bean’s Holiday,Adventure
233,Good Luck Chuck,Romantic Comedy
234,Hot Rod,Comedy
235,August Rush,Drama
236,No Country for Old Men,Action
237,There Will Be Blood,Drama
238,The Hoax,Drama
239,Bridge to Terabithia,Drama
240,Martian Child,Drama
241,Knocked Up,Romantic Comedy
242,Rendition,Thriller/Suspense
243,Alatriste,Adventure
244,We Own the Night,Drama
245,No Reservations,Romantic Comedy
246,DOA: Dead or Alive,Action
247,P.S. I Love You,Romantic Comedy
248,30 Days of Night,Horror
249,Genghis Khan: To the Ends of the Earth and Sea,Drama
250,Atonement,Drama
251,Evening,Drama
252,Goodbye Bafana,Drama
253,The Assassination of Jesse James by the Coward Robert Ford,Western
254,The Number 23,Thriller/Suspense
255,Dragon Wars: D-War,Action
256,TMNT,Action
257,Lions for Lambs,Drama
258,Walk Hard: The Dewey Cox Story,Comedy
259,License to Wed,Romantic Comedy
260,Virgin Territory,Drama
261,Because I Said So,Comedy
262,Shoot 'Em Up,Action
263,Aliens vs. Predator - Requiem,Action
264,The Hunting Party,Adventure
265,The Reaping,Horror
266,Nomad,Drama
267,The Water Horse: Legend of the Deep,Drama
268,Sunshine,Thriller/Suspense
269,Love in the Time of Cholera,Drama
270,The Bucket List,Comedy
271,Resident Evil: Extinction,Action
272,Across the Universe,Musical
273,3:10 to Yuma,Western
274,Hannibal Rising,Thriller/Suspense
275,Eastern Promises,Thriller/Suspense
276,Grindhouse,Horror
277,Elizabeth: The Golden Age,Drama
278,Alvin and the Chipmunks,Adventure
279,Lucky You,Drama
280,Wild Hogs,Comedy
281,300,Action
282,Shooter,Thriller/Suspense
283,Blades of Glory,Comedy
284,The Last Legion,Action
285,The Brave One,Drama
286,Stardust,Adventure
287,Next,Action
288,The Simpsons Movie,Adventure
289,The Kingdom,Action
290,Hairspray,Musical
291,Charlie Wilson's War,Drama
292,The Invasion,Thriller/Suspense
293,Zodiac,Thriller/Suspense
294,Enchanted,Romantic Comedy
295,I Now Pronounce You Chuck and Larry,Comedy
296,Ocean's Thirteen,Adventure
297,American Gangster,Drama
298,Surf's Up,Adventure
299,Live Free or Die Hard,Action
300,Ghost Rider,Action
301,Fantastic Four: Rise of the Silver Surfer,Action
302,The Bourne Ultimatum,Thriller/Suspense
303,I am Legend,Horror
304,Ratatouille,Adventure
305,Harry Potter and the Order of the Phoenix,Adventure
306,Beowulf,Adventure
307,Transformers,Action
308,Shrek the Third,Adventure
309,Evan Almighty,Comedy
310,Rush Hour 3,Action
311,The Golden Compass,Adventure
312,Spider-Man 3,Adventure
313,Pirates of the Caribbean: At World’s End,Adventure
314,Fifty Dead Men Walking,Drama
315,The Oxford Murders,Thriller/Suspense
316,Nick and Norah's Infinite Playlist,Drama
317,Over Her Dead Body,Comedy
318,Kit Kittredge: An American Girl,Drama
319,My Blueberry Nights,Drama
321,"Run, Fatboy, Run",Comedy
322,Joheunnom nabbeunnom isanghannom,Action
323,"War, Inc.",Black Comedy
324,Saw V,Horror
325,The Secret Life of Bees,Drama
326,High School Musical 3: Senior Year,Musical
327,The Eye,Thriller/Suspense
328,Quarantine,Horror
329,Life Before Her Eyes,Drama
330,Charlie Bartlett,Comedy
331,Cadillac Records,Drama
332,Married Life,Drama
333,Rachel Getting Married,Drama
334,Harold & Kumar Escape from Guantanamo Bay,Comedy
335,The Boy in the Striped Pyjamas,Drama
336,Män som hatar kvinnor,Thriller/Suspense
337,Ca$h,Comedy
338,Slumdog Millionaire,Drama
339,The Lucky Ones,Drama
340,Ong-Bak 2,Action
341,Transsiberian,Thriller/Suspense
342,Funny Games,Thriller/Suspense
343,Midnight Meat Train,Thriller/Suspense
344,U2 3D,Concert/Performance
345,In Bruges,Comedy
346,The Rocker,Comedy
347,Bathory,Drama
348,The Yellow Handkerchief,Drama
349,Good,Drama
350,Bienvenue chez les Ch'tis,Comedy
351,Vicky Cristina Barcelona,Comedy
352,The Women,Comedy
353,Chasseurs de dragons,Adventure
354,How She Move,Drama
355,Step Up 2 the Streets,Drama
356,Prom Night,Horror
357,RocknRolla,Action
358,Mongol,Drama
359,I Come with the Rain,Thriller/Suspense
360,Ne le dis à personne,Thriller/Suspense
361,Sex Drive,Comedy
362,Der Baader Meinhof Komplex,Action
363,Ghost Town,Romantic Comedy
364,The Bank Job,Thriller/Suspense
365,Admiral,Drama
366,Three Kingdoms: Resurrection of the Dragon,Action
367,The Children of Huang Shi,Drama
368,An American Carol,Comedy
369,Strange Wilderness,Comedy
370,Milk,Drama
371,One Missed Call,Horror
372,Meet the Browns,Comedy
373,Flash of Genius,Drama
374,Lakeview Terrace,Thriller/Suspense
375,Be Kind Rewind,Comedy
376,Disaster Movie,Comedy
377,Appaloosa,Western
378,長江七號 (CJ7),Adventure
379,Beverly Hills Chihuahua,Adventure
380,The Stepfather,Thriller/Suspense
381,My Best Friend's Girl,Comedy
382,"Synecdoche, New York",Drama
383,Doubt,Drama
384,Street Kings,Thriller/Suspense
385,Passchendaele,Drama
386,Swing Vote,Comedy
387,Never Back Down,Action
388,Mad Money,Comedy
389,Traitor,Thriller/Suspense
390,Igor,Adventure
391,Rogue,Horror
392,The Longshots,Drama
393,Zack and Miri Make a Porno,Comedy
394,Cloverfield,Action
395,Stop-Loss,Drama
396,Deception,Thriller/Suspense
397,Gran Torino,Drama
398,The House Bunny,Comedy
399,Blindness,Thriller/Suspense
400,Fly Me To the Moon,Adventure
401,The Ruins,Horror
402,W.,Drama
403,Pineapple Express,Comedy
404,What Just Happened,Comedy
405,The Duchess,Drama
406,The Sisterhood of the Traveling Pants 2,Adventure
407,Welcome Home Roscoe Jenkins,Comedy
408,Role Models,Comedy
409,How to Lose Friends & Alienate People,Comedy
410,Frost/Nixon,Drama
411,88 Minutes,Thriller/Suspense
412,Forgetting Sarah Marshall,Comedy
413,Meet the Spartans,Comedy
414,27 Dresses,Romantic Comedy
415,Baby Mama,Comedy
416,Pride and Glory,Drama
417,The Reader,Drama
418,Doomsday,Action
419,Mirrors,Horror
420,What Happens in Vegas...,Romantic Comedy
421,The X-Files: I Want to Believe,Action
422,Untraceable,Thriller/Suspense
423,The Young Victoria,Drama
424,Superhero Movie,Comedy
425,Max Payne,Action
426,21,Thriller/Suspense
427,Punisher: War Zone,Action
