	Release Date	Movie	Budget	Domestic Gross	Worldwide Gross	Year	Week	Dom_Profits	WW_Profits	movie_name	genre	%ROI	KEY	title - IMDb	runtime - m	genres - IMDb	directors	year - IMDb	cast	KEY - IMDb
0	2009-12-18	Avatar	425000000	760507625	2789705275	2009	51	335507625	2364705275	Avatar	Action	78.94297058823531	Avatar - 2009	Avatar	162.0	action, adventure, fantasy	James Cameron	2009	Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez	Avatar - 2009
1	2011-05-20	Pirates of the Caribbean: On Stranger Tides	410600000	241063875	1045663875	2011	20	-169536125	635063875	Pirates of the Caribbean: On Stranger Tides	Adventure	-41.28985021919143	Pirates of the Caribbean: On Stranger Tides - 2011	Pirates of the Caribbean: On Stranger Tides	136.0	action, adventure, fantasy	Rob Marshall	2011	Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush	Pirates of the Caribbean: On Stranger Tides - 2011
2	2015-05-01	Avengers: Age of Ultron	330600000	459005868	1403013963	2015	18	128405868	1072413963	Avengers: Age of Ultron	Action	38.84025045372051	Avengers: Age of Ultron - 2015	Avengers: Age of Ultron	141.0	action, adventure, sci-fi	Joss Whedon	2015	Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth	Avengers: Age of Ultron - 2015
3	2018-04-27	Avengers: Infinity War	300000000	678815482	2048134200	2018	17	378815482	1748134200	Avengers: Infinity War	Action	126.27182733333333	Avengers: Infinity War - 2018	Avengers: Infinity War	149.0	action, adventure, sci-fi	Anthony Russo, Joe Russo	2018	Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans	Avengers: Infinity War - 2018
4	2017-11-17	Justice League	300000000	229024295	655945209	2017	46	-70975705	355945209	Justice League	Action	-23.658568333333328	Justice League - 2017	Justice League	120.0	action, adventure, fantasy	Zack Snyder	2017	Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller	Justice League - 2017
5	2015-11-06	Spectre	300000000	200074175	879620923	2015	45	-99925825	579620923	Spectre	Action	-33.308608333333325	Spectre - 2015	Spectre	148.0	action, adventure, thriller	Sam Mendes	2015	Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes	Spectre - 2015
6	2012-07-20	The Dark Knight Rises	275000000	448139099	1084439099	2012	29	173139099	809439099	The Dark Knight Rises	Action	62.959672363636365	The Dark Knight Rises - 2012	The Dark Knight Rises	164.0	action, thriller	Christopher Nolan	2012	Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman	The Dark Knight Rises - 2012
7	2018-05-25	Solo: A Star Wars Story	275000000	213767512	393151347	2018	21	-61232488	118151347	Solo: A Star Wars Story	Adventure	-22.266359272727275	Solo: A Star Wars Story - 2018	Solo: A Star Wars Story	135.0	action, adventure, fantasy	Ron Howard	2018	Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover	Solo: A Star Wars Story - 2018
8	2013-07-02	The Lone Ranger	275000000	89302115	260002115	2013	27	-185697885	-14997885	The Lone Ranger	Western	-67.52650363636363	The Lone Ranger - 2013	The Lone Ranger	150.0	action, adventure, western	Gore Verbinski	2013	Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson	The Lone Ranger - 2013
9	2012-03-09	John Carter	275000000	73058679	282778100	2012	10	-201941321	7778100	John Carter	Adventure	-73.43320763636363	John Carter - 2012	John Carter	132.0	action, adventure, sci-fi	Andrew Stanton	2012	Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton	John Carter - 2012
